,"Country,Other",TotalCases,NewCases,TotalDeaths
145,Tajikistan,"16,817",+39,124 
146,Timor-Leste,"16,402",,62 
147,Belize,"16,012",,356 
148,Taiwan,"15,991",+8,834 
149,Curaçao,"15,248",,143 
150,Andorra,"15,032",+7,130 
151,Mali,"14,873",+16,539 
152,Laos,"14,816",+155,14 
153,Aruba,"14,465",,137 
154,Lesotho,"14,395",,403 
155,Burkina Faso,"13,762",,171  
156,Congo,"13,533",,183 
157,Benin,"13,366",,128 
158,Hong Kong,"12,111",+3,212 
159,Burundi,"11,994",,38 
160,Djibouti,"11,747",+6,157 
161,South Sudan,"11,403",,120 
162,CAR,"11,270",,99 
163,Nicaragua,"11,167",,199 
164,Iceland,"10,705",+47,33 
165,Channel Islands,"10,486",,95 
166,Gambia,"9,698",+72,319 
167,Equatorial Guinea,"9,326",,124 
168,Mauritius,"8,667",,27 
169,Saint Lucia,"8,111",,103 
170,Yemen,"7,829",+45,"1,469 "
171,Isle of Man,"6,653",+24,38 
172,Eritrea,"6,642",+2,38 
173,Sierra Leone,"6,363",,121 
174,Niger,"5,839",,198 
175,Guinea-Bissau,"5,766",,117 
176,Liberia,"5,459",,148 
177,Gibraltar,"5,342",+5,97 
178,San Marino,"5,321",,90 
179,Chad,"4,991",,174 
180,Barbados,"4,931",,49 
181,Comoros,"4,062",,147 
182,Sint Maarten,"3,641",,49 
183,New Zealand,"3,519",+55,26 
184,Saint Martin,"3,273",,42 
185,Liechtenstein,"3,266",+3,59 
186,Monaco,"3,188",+5,33 
187,Bermuda,"2,844",,33 
188,Turks and Caicos,"2,650",,20 
189,Brunei ,"2,641",+76,8 
190,Bhutan,"2,595",+1,3 
191,Sao Tome and Principe,"2,593",+3,37 
192,British Virgin Islands,"2,568",,37 
193,St. Vincent Grenadines,"2,331",,12 
194,Caribbean Netherlands,"1,787",,17 
195,Antigua and Barbuda,"1,713",+62,44 
196,Dominica,"1,638",,4 
197,St. Barth,"1,520",,2 
198,Tanzania,"1,367",,50 
199,Saint Kitts and Nevis,"1,053",,3 
200,Faeroe Islands,"1,000",,2 
201,Diamond Princess,712,,13 
202,Cayman Islands,680,+9,2 
203,Wallis and Futuna,445,,7 
204,Grenada,357,,1 
205,Greenland,333,, 
206,Anguilla,201,, 
207,New Caledonia,136,, 
208,Falkland Islands,66,, 
209,Macao,63,, 
210,Saint Pierre Miquelon,30,, 
211,Montserrat,29,+3,1 
212,Vatican City,27,, 
213,Solomon Islands,20,, 
214,Western Sahara,10,,1 
215,MS Zaandam,9,,2 
216,Vanuatu,4,,1 
217,Marshall Islands,4,, 
218,Samoa,3,, 
219,Palau,2,, 
220,Saint Helena,2,, 
221,Micronesia,1,, 
222,China,"94,842",+23,"4,636 "
223,"47,681,888","+40,331","991,202",+495
224,"69,868,593","+229,320","1,031,299","+3,528"
225,"36,863,304",+755,"1,128,548",+47
226,"55,197,502","+90,000","1,171,518","+1,220"
227,"7,827,972","+15,045","195,780",+539
228,"160,985","+1,607","2,103",+14
229,721,,15,
230,"217,600,965","+377,058","4,520,465","+5,843"
